ürün,koçluk_seansı,çalışma_planı,ödev_aksiyon,dosya_teslimi,soru_bankası_deneme,deneme_analizi,AI_öğrenme,yanlış_tekrar,parent_raporu,topluluk_oyunlaştırma,tercih_robotu,koç_not_ölçüm,çoklu_koç_admin
Universitely,var,kısmen,var,var,var,var,kısmen,var,var,yok,var,var,var
Kunduz,var,var,var,belirtilmedi,var,var,var,kısmen,var,belirtilmedi,belirtilmedi,var,belirtilmedi
Raunt,var,var,belirtilmedi,belirtilmedi,var,var,var,var,belirtilmedi,belirtilmedi,belirtilmedi,belirtilmedi,belirtilmedi
YKS Cepte,yok,kısmen,belirtilmedi,yok,var,var,belirtilmedi,kısmen,yok,var,belirtilmedi,yok,yok
My Study Life,yok,var,var,yok,yok,yok,var,yok,var,yok,yok,yok,yok
CoachAccountable,var,var,var,var,yok,yok,yok,yok,belirtilmedi,var,yok,var,var
TutorCruncher,var,yok,yok,yok,yok,yok,yok,yok,belirtilmedi,yok,yok,var,var
Khanmigo,yok,var,var,yok,yok,yok,var,belirtilmedi,belirtilmedi,yok,yok,kısmen,var
Quizlet,yok,kısmen,var,yok,var,var,var,kısmen,yok,yok,yok,yok,kısmen
Kariyer.net Tercih Motoru,yok,yok,yok,yok,yok,yok,yok,yok,yok,yok,yüksek,yok,yok
